type,sex,id,cancer,year,id_label,cancer_label,cases_pred,pop,APC,cases_base,change,percent,population,risk
1,0,36,27,2030,Australia,Prostate,4936,14009717,0,3455,1481,42.8654,"{'cases': 4936, 'change': 1481, 'percent': 42.8654}","{'change': 0, 'percent': 0}"
1,0,36,27,2035,Australia,Prostate,5838,14607072,0,3455,2383,68.9725,"{'cases': 5838, 'change': 2383, 'percent': 68.9725}","{'change': 0, 'percent': 0}"
1,0,36,27,2040,Australia,Prostate,6641,15171951,0,3455,3186,92.2142,"{'cases': 6641, 'change': 3186, 'percent': 92.2142}","{'change': 0, 'percent': 0}"
1,0,36,28,2020,Australia,Testis,26,12698625,0,26,0,0.0,"{'cases': 26, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,28,2025,Australia,Testis,28,13377808,0,26,2,7.6923,"{'cases': 28, 'change': 2, 'percent': 7.6923}","{'change': 0, 'percent': 0}"
1,0,36,28,2030,Australia,Testis,30,14009717,0,26,4,15.3846,"{'cases': 30, 'change': 4, 'percent': 15.3846}","{'change': 0, 'percent': 0}"
1,0,36,28,2035,Australia,Testis,32,14607072,0,26,6,23.0769,"{'cases': 32, 'change': 6, 'percent': 23.0769}","{'change': 0, 'percent': 0}"
1,0,36,28,2040,Australia,Testis,34,15171951,0,26,8,30.7692,"{'cases': 34, 'change': 8, 'percent': 30.7692}","{'change': 0, 'percent': 0}"
1,0,36,29,2020,Australia,Kidney and renal pelvis,1263,25499881,0,1263,0,0.0,"{'cases': 1263, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,29,2025,Australia,Kidney and renal pelvis,1446,26879753,0,1263,183,14.4893,"{'cases': 1446, 'change': 183, 'percent': 14.4893}","{'change': 0, 'percent': 0}"
1,0,36,29,2030,Australia,Kidney and renal pelvis,1652,28177480,0,1263,389,30.7997,"{'cases': 1652, 'change': 389, 'percent': 30.7997}","{'change': 0, 'percent': 0}"
1,0,36,29,2035,Australia,Kidney and renal pelvis,1865,29410247,0,1263,602,47.6643,"{'cases': 1865, 'change': 602, 'percent': 47.6643}","{'change': 0, 'percent': 0}"
1,0,36,29,2040,Australia,Kidney and renal pelvis,2062,30572490,0,1263,799,63.2621,"{'cases': 2062, 'change': 799, 'percent': 63.2621}","{'change': 0, 'percent': 0}"
1,0,36,3,2020,Australia,Oropharynx,252,25499881,0,252,0,0.0,"{'cases': 252, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,3,2025,Australia,Oropharynx,280,26879753,0,252,28,11.1111,"{'cases': 280, 'change': 28, 'percent': 11.1111}","{'change': 0, 'percent': 0}"
1,0,36,3,2030,Australia,Oropharynx,308,28177480,0,252,56,22.2222,"{'cases': 308, 'change': 56, 'percent': 22.2222}","{'change': 0, 'percent': 0}"
1,0,36,3,2035,Australia,Oropharynx,336,29410247,0,252,84,33.3333,"{'cases': 336, 'change': 84, 'percent': 33.3333}","{'change': 0, 'percent': 0}"
1,0,36,3,2040,Australia,Oropharynx,362,30572490,0,252,110,43.6508,"{'cases': 362, 'change': 110, 'percent': 43.6508}","{'change': 0, 'percent': 0}"
1,0,36,30,2020,Australia,Bladder,1367,25499881,0,1367,0,0.0,"{'cases': 1367, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,30,2025,Australia,Bladder,1614,26879753,0,1367,247,18.0688,"{'cases': 1614, 'change': 247, 'percent': 18.0688}","{'change': 0, 'percent': 0}"
1,0,36,30,2030,Australia,Bladder,1927,28177480,0,1367,560,40.9656,"{'cases': 1927, 'change': 560, 'percent': 40.9656}","{'change': 0, 'percent': 0}"
1,0,36,30,2035,Australia,Bladder,2270,29410247,0,1367,903,66.0571,"{'cases': 2270, 'change': 903, 'percent': 66.0571}","{'change': 0, 'percent': 0}"
1,0,36,30,2040,Australia,Bladder,2581,30572490,0,1367,1214,88.8076,"{'cases': 2581, 'change': 1214, 'percent': 88.8076}","{'change': 0, 'percent': 0}"
1,0,36,31,2020,Australia,"Brain, nervous system",1590,25499881,0,1590,0,0.0,"{'cases': 1590, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,31,2025,Australia,"Brain, nervous system",1759,26879753,0,1590,169,10.6289,"{'cases': 1759, 'change': 169, 'percent': 10.6289}","{'change': 0, 'percent': 0}"
1,0,36,31,2030,Australia,"Brain, nervous system",1925,28177480,0,1590,335,21.0692,"{'cases': 1925, 'change': 335, 'percent': 21.0692}","{'change': 0, 'percent': 0}"
1,0,36,31,2035,Australia,"Brain, nervous system",2085,29410247,0,1590,495,31.1321,"{'cases': 2085, 'change': 495, 'percent': 31.1321}","{'change': 0, 'percent': 0}"
1,0,36,31,2040,Australia,"Brain, nervous system",2232,30572490,0,1590,642,40.3774,"{'cases': 2232, 'change': 642, 'percent': 40.3774}","{'change': 0, 'percent': 0}"
1,0,36,32,2020,Australia,Thyroid,152,25499881,0,152,0,0.0,"{'cases': 152, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,32,2025,Australia,Thyroid,174,26879753,0,152,22,14.473700000000001,"{'cases': 174, 'change': 22, 'percent': 14.473700000000001}","{'change': 0, 'percent': 0}"
1,0,36,32,2030,Australia,Thyroid,198,28177480,0,152,46,30.2632,"{'cases': 198, 'change': 46, 'percent': 30.2632}","{'change': 0, 'percent': 0}"
1,0,36,32,2035,Australia,Thyroid,223,29410247,0,152,71,46.7105,"{'cases': 223, 'change': 71, 'percent': 46.7105}","{'change': 0, 'percent': 0}"
1,0,36,32,2040,Australia,Thyroid,246,30572490,0,152,94,61.8421,"{'cases': 246, 'change': 94, 'percent': 61.8421}","{'change': 0, 'percent': 0}"
1,0,36,33,2020,Australia,Hodgkin lymphoma,86,25499881,0,86,0,0.0,"{'cases': 86, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,33,2025,Australia,Hodgkin lymphoma,98,26879753,0,86,12,13.9535,"{'cases': 98, 'change': 12, 'percent': 13.9535}","{'change': 0, 'percent': 0}"
1,0,36,33,2030,Australia,Hodgkin lymphoma,111,28177480,0,86,25,29.0698,"{'cases': 111, 'change': 25, 'percent': 29.0698}","{'change': 0, 'percent': 0}"
1,0,36,33,2035,Australia,Hodgkin lymphoma,124,29410247,0,86,38,44.186,"{'cases': 124, 'change': 38, 'percent': 44.186}","{'change': 0, 'percent': 0}"
1,0,36,33,2040,Australia,Hodgkin lymphoma,136,30572490,0,86,50,58.1395,"{'cases': 136, 'change': 50, 'percent': 58.1395}","{'change': 0, 'percent': 0}"
1,0,36,34,2020,Australia,Non-Hodgkin lymphoma,1732,25499881,0,1732,0,0.0,"{'cases': 1732, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,34,2025,Australia,Non-Hodgkin lymphoma,2004,26879753,0,1732,272,15.7044,"{'cases': 2004, 'change': 272, 'percent': 15.7044}","{'change': 0, 'percent': 0}"
1,0,36,34,2030,Australia,Non-Hodgkin lymphoma,2316,28177480,0,1732,584,33.7182,"{'cases': 2316, 'change': 584, 'percent': 33.7182}","{'change': 0, 'percent': 0}"
1,0,36,34,2035,Australia,Non-Hodgkin lymphoma,2643,29410247,0,1732,911,52.5982,"{'cases': 2643, 'change': 911, 'percent': 52.5982}","{'change': 0, 'percent': 0}"
1,0,36,34,2040,Australia,Non-Hodgkin lymphoma,2942,30572490,0,1732,1210,69.8614,"{'cases': 2942, 'change': 1210, 'percent': 69.8614}","{'change': 0, 'percent': 0}"
1,0,36,35,2020,Australia,Multiple myeloma and immunoproliferative diseases,1135,25499881,0,1135,0,0.0,"{'cases': 1135, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,35,2025,Australia,Multiple myeloma and immunoproliferative diseases,1316,26879753,0,1135,181,15.9471,"{'cases': 1316, 'change': 181, 'percent': 15.9471}","{'change': 0, 'percent': 0}"
1,0,36,35,2030,Australia,Multiple myeloma and immunoproliferative diseases,1519,28177480,0,1135,384,33.8326,"{'cases': 1519, 'change': 384, 'percent': 33.8326}","{'change': 0, 'percent': 0}"
1,0,36,35,2035,Australia,Multiple myeloma and immunoproliferative diseases,1728,29410247,0,1135,593,52.2467,"{'cases': 1728, 'change': 593, 'percent': 52.2467}","{'change': 0, 'percent': 0}"
1,0,36,35,2040,Australia,Multiple myeloma and immunoproliferative diseases,1919,30572490,0,1135,784,69.0749,"{'cases': 1919, 'change': 784, 'percent': 69.0749}","{'change': 0, 'percent': 0}"
1,0,36,36,2020,Australia,Leukaemia,2015,25499881,0,2015,0,0.0,"{'cases': 2015, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,36,2025,Australia,Leukaemia,2331,26879753,0,2015,316,15.6824,"{'cases': 2331, 'change': 316, 'percent': 15.6824}","{'change': 0, 'percent': 0}"
1,0,36,36,2030,Australia,Leukaemia,2694,28177480,0,2015,679,33.6973,"{'cases': 2694, 'change': 679, 'percent': 33.6973}","{'change': 0, 'percent': 0}"
1,0,36,36,2035,Australia,Leukaemia,3072,29410247,0,2015,1057,52.4566,"{'cases': 3072, 'change': 1057, 'percent': 52.4566}","{'change': 0, 'percent': 0}"
1,0,36,36,2040,Australia,Leukaemia,3418,30572490,0,2015,1403,69.6278,"{'cases': 3418, 'change': 1403, 'percent': 69.6278}","{'change': 0, 'percent': 0}"
1,0,36,37,2020,Australia,Other specified sites,1164,25499881,0,1164,0,0.0,"{'cases': 1164, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,37,2025,Australia,Other specified sites,1321,26879753,0,1164,157,13.488,"{'cases': 1321, 'change': 157, 'percent': 13.488}","{'change': 0, 'percent': 0}"
1,0,36,37,2030,Australia,Other specified sites,1493,28177480,0,1164,329,28.2646,"{'cases': 1493, 'change': 329, 'percent': 28.2646}","{'change': 0, 'percent': 0}"
1,0,36,37,2035,Australia,Other specified sites,1668,29410247,0,1164,504,43.299,"{'cases': 1668, 'change': 504, 'percent': 43.299}","{'change': 0, 'percent': 0}"
1,0,36,37,2040,Australia,Other specified sites,1827,30572490,0,1164,663,56.9588,"{'cases': 1827, 'change': 663, 'percent': 56.9588}","{'change': 0, 'percent': 0}"
1,0,36,38,2020,Australia,Unspecified sites,2620,25499881,0,2620,0,0.0,"{'cases': 2620, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,38,2025,Australia,Unspecified sites,3029,26879753,0,2620,409,15.6107,"{'cases': 3029, 'change': 409, 'percent': 15.6107}","{'change': 0, 'percent': 0}"
1,0,36,38,2030,Australia,Unspecified sites,3533,28177480,0,2620,913,34.8473,"{'cases': 3533, 'change': 913, 'percent': 34.8473}","{'change': 0, 'percent': 0}"
1,0,36,38,2035,Australia,Unspecified sites,4086,29410247,0,2620,1466,55.9542,"{'cases': 4086, 'change': 1466, 'percent': 55.9542}","{'change': 0, 'percent': 0}"
1,0,36,38,2040,Australia,Unspecified sites,4600,30572490,0,2620,1980,75.5725,"{'cases': 4600, 'change': 1980, 'percent': 75.5725}","{'change': 0, 'percent': 0}"
